place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.23598982886762,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.155697981527542,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.992431149005846,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.983742790668055,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.953915360225983,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.940795442703747,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.933872260158447,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.845482757132288,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.811845178412428,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.78798289813516,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.766240546152911,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.747243902490744,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,The Lord of the Rings: The Two Towers,8.73789006743314,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,Inception,8.732496751308775,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15,Star Wars: Episode V - The Empire Strikes Back,8.69796756533738,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.66912761915253,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,GoodFellas,8.653583634521679,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.637037317021958,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604751966563171,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,It's a Wonderful Life,8.597428983555213,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
21,Shichinin no samurai,8.59712989126991,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
22,The Silence of the Lambs,8.588339294163418,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Saving Private Ryan,8.580192562466568,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
24,Cidade de Deus,8.579313589012289,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
25,Interstellar,8.575201734338725,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
26,La vita è bella,8.568899663200948,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
27,The Green Mile,8.564315511526159,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Star Wars,8.546914798468306,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.53882220251154,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.518085547709,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.516024139200118,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,The Pianist,8.50821498533679,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
